FIPS,State,County,PCT_NHWHITE10,PCT_NHBLACK10,PCT_HISP10,PCT_NHASIAN10,PCT_NHNA10,PCT_NHPI10,PCT_65OLDER10,PCT_18YOUNGER10,MEDHHINC10,POVRATE10,PERPOV10,CHILDPOVRATE10,PERCHLDPOV10,METRO13,POPLOSS00
13275,GA,Thomas,58.320662,36.708408,2.851073,0.684258,0.371199,0.015653,15.071556,24.903846,35539,26.4,0,35.5,1,0,0
13277,GA,Tift,58.714293,28.787577,10.062815,1.263772,0.179471,0.019941,12.769829,25.82382,34702,22.6,0,33.1,1,0,0
13279,GA,Toombs,62.032105,24.670316,11.222128,0.731,0.135914,0.051427,13.74573,27.97267,32002,28.1,1,40,1,0,0
13281,GA,Towns,96.475981,0.372457,1.967338,0.410658,0.286506,0,29.23312,15.671856,38207,15,0,28.6,0,0,0
13283,GA,Treutlen,64.86565,32.519971,1.496006,0.188816,0.145243,0,13.652869,24.880174,30809,29.6,1,42.4,1,0,0
13285,GA,Troup,60.270867,33.290078,3.23668,1.572102,0.199869,0.031323,12.384404,26.552712,39422,21.1,0,29.9,1,0,0
13287,GA,Turner,53.975364,41.399776,3.157895,0.447928,0.212766,0,15.68869,24.669653,26845,28,1,41,1,0,0
13289,GA,Twiggs,56.067827,41.039566,1.374266,0.155159,0.299235,0.011083,16.169788,20.569655,35232,25.1,0,32.1,1,1,0
13291,GA,Union,95.265967,0.44484,2.43023,0.351189,0.309047,0.01873,26.573328,17.760817,37540,19.1,0,32.6,0,0,0
13293,GA,Upson,68.213457,27.783302,2.165507,0.456671,0.224653,0.011049,15.659411,23.632748,33461,21.3,0,31.8,0,0,0
13295,GA,Walker,92.127233,4.085462,1.618768,0.423236,0.247251,0.043633,14.98342,23.643028,36854,17.8,0,25.9,0,1,0
13297,GA,Walton,78.403448,15.510696,3.202894,1.130503,0.231592,0.045363,12.04756,26.964951,51913,14.5,0,20.8,0,1,0
13299,GA,Ware,64.945473,29.362194,3.32397,0.765587,0.267129,0.019277,15.231879,23.565213,33176,23.2,1,34.1,1,0,0
13301,GA,Warren,36.561536,61.432979,0.925609,0.359959,0.154268,0,17.94652,23.534453,29764,27.7,1,39.4,1,0,0
13303,GA,Washington,44.078916,52.503894,1.920989,0.490867,0.089678,0.00472,13.597961,23.816491,33199,30.6,1,35.4,1,0,0
13305,GA,Wayne,72.258215,19.695006,5.711153,0.531579,0.272434,0.019934,12.830991,24.788199,36562,22.8,0,35.4,1,0,0
13307,GA,Webster,53.304752,42.050732,3.50125,0.250089,0,0,15.005359,25.366202,31216,21.8,0,30.5,1,0,0
13309,GA,Wheeler,59.358577,34.793155,4.797197,0.215604,0.080852,0,11.885191,18.851907,29834,33.2,1,35.3,1,0,0
13311,GA,White,93.770262,1.672561,2.383584,0.456823,0.442087,0.033156,17.513999,22.841144,40120,16.8,0,25.2,0,0,0
13313,GA,Whitfield,62.201386,3.539021,31.648457,1.259272,0.17544,0.028265,11.155079,28.541214,40117,20.2,0,27.4,0,1,0
13315,GA,Wilcox,59.902755,34.932469,3.65208,0.443004,0.162075,0.010805,14.273366,19.308482,31442,30,1,38.2,1,0,0
13317,GA,Wilkes,51.873879,42.631927,3.407911,0.453129,0.132163,0.00944,18.606627,22.241103,30451,24.9,0,38.7,1,0,0
13319,GA,Wilkinson,57.816585,38.314337,2.237791,0.324166,0.209139,0.010457,15.727282,24.301997,35530,21.1,0,33,1,0,1
13321,GA,Worth,69.394345,27.450528,1.545274,0.341344,0.221412,0.018451,14.456386,24.645971,37436,21.2,0,30.4,1,1,0
