FIPS,State,County,PCT_DIABETES_ADULTS09,PCT_DIABETES_ADULTS10,PCT_OBESE_ADULTS09,PCT_OBESE_ADULTS10,PCT_OBESE_ADULTS13,PCT_OBESE_CHILD08,PCT_OBESE_CHILD11,PCH_OBESE_CHILD_08_11,PCT_HSPA09,RECFAC07,RECFAC12,PCH_RECFAC_07_12,RECFACPTH07,RECFACPTH12,PCH_RECFACPTH_07_12,NATAMEN
13273,GA,Terrell,13.8,14.7,37.5,38.6,30.3,12.8,12.1,-0.7,23.7,0,0,0,0,0,0,3
13275,GA,Thomas,14,13.7,34.1,32.6,30.3,6.3,9.9,3.6,23.7,4,5,25,0.088298272,0.111796798,26.61266881,4
13277,GA,Tift,12.5,13.4,33.3,32,30.3,17.5,12.7,-4.8,23.7,5,5,0,0.118618334,0.121761153,2.649522696,4
13279,GA,Toombs,12.8,13.7,31.6,33.6,30.3,15.1,17.5,2.4,23.7,2,1,-50,0.072027947,0.036609921,-49.17261578,4
13281,GA,Towns,13.2,14.1,26.5,27.4,30.3,15.8,10.6,-5.2,23.7,1,0,-100,0.092174394,0,-100,5
13283,GA,Treutlen,11.5,12.3,34.9,34.8,30.3,15,14.9,-0.1,23.7,1,0,-100,0.144822592,0,-100,3
13285,GA,Troup,12.6,13.7,32.8,30.9,30.3,12.1,13.4,1.3,23.7,6,6,0,0.094640209,0.087632179,-7.404919086,4
13287,GA,Turner,13.8,13.4,34.1,32.6,30.3,13.6,8.2,-5.4,23.7,0,0,0,0,0,0,4
13289,GA,Twiggs,13.6,14.9,32.5,32,30.3,16,16.9,0.9,23.7,0,0,0,0,0,0,3
13291,GA,Union,13.1,13.9,27,26.6,30.3,9.7,11.5,1.8,23.7,1,2,100,0.04786063,0.093235747,94.80676892,5
13293,GA,Upson,12.6,13.6,30.4,34.4,30.3,13.1,12.5,-0.6,23.7,3,0,-100,0.108904781,0,-100,4
13295,GA,Walker,11,13.2,30.5,32,30.3,12,11.8,-0.2,23.7,5,4,-20,0.077449735,0.058742327,-24.15425735,3
13297,GA,Walton,10.8,11.4,28.4,28.3,30.3,14,13.7,-0.3,23.7,7,4,-42.85714286,0.084093175,0.0472953,-43.75845615,3
13299,GA,Ware,13.5,14.8,31.2,34.1,30.3,13.1,11.3,-1.8,23.7,5,4,-20,0.139155604,0.111666341,-19.75433405,3
13301,GA,Warren,14.7,15.3,35.1,37.2,30.3,15.9,21.6,5.7,23.7,0,0,0,0,0,0,4
13303,GA,Washington,13.7,14.8,34.7,34.7,30.3,16.4,17.4,1,23.7,0,0,0,0,0,0,3
13305,GA,Wayne,10,11.6,32.3,33.4,30.3,13.2,11.3,-1.9,23.7,3,2,-33.33333333,0.103462547,0.06599571,-36.21294616,3
13307,GA,Webster,13.7,13.7,32,31.1,30.3,16.3,18.6,2.3,23.7,0,0,0,0,0,0,3
13309,GA,Wheeler,10.3,10.3,30.3,31.6,30.3,12.7,12.9,0.2,23.7,0,0,0,0,0,0,4
13311,GA,White,10.7,11.2,29.2,28.6,30.3,13,12.8,-0.2,23.7,3,1,-66.66666667,0.120612713,0.036289737,-69.91217884,4
13313,GA,Whitfield,11,11,29.2,28.4,30.3,18,18.1,0.1,23.7,10,6,-40,0.10786672,0.058050097,-46.18349636,3
13315,GA,Wilcox,11.4,11.6,32.9,31,30.3,12.7,12.9,0.2,23.7,0,0,0,0,0,0,3
13317,GA,Wilkes,15.1,16.4,31,32.7,30.3,9.9,11.1,1.2,23.7,0,0,0,0,0,0,4
13319,GA,Wilkinson,13.5,13.8,32.2,32.1,30.3,20.9,14.6,-6.3,23.7,0,0,0,0,0,0,4
13321,GA,Worth,11.5,12.2,29.7,31.6,30.3,17.2,13.6,-3.6,23.7,6,2,-66.66666667,0.281491907,0.091992089,-67.3198105,4
