FIPS,State,County,FFR07,FFR12,PCH_FFR_07_12,FFRPTH07,FFRPTH12,PCH_FFRPTH_07_12,FSR07,FSR12,PCH_FSR_07_12,FSRPTH07,FSRPTH12,PCH_FSRPTH_07_12,PC_FFRSALES02,PC_FFRSALES07,PC_FSRSALES02,PC_FSRSALES07
13249,GA,Schley,4,3,-25,0.96969697,0.601202405,-38.001002,2,0,-100,0.484848485,0,-100,538,749.6665528,510,711.7697982
13251,GA,Screven,7,6,-14.28571429,0.465209012,0.422475708,-9.185828958,9,9,0,0.598125872,0.633713561,5.949866216,538,749.6665528,510,711.7697982
13253,GA,Seminole,7,5,-28.57142857,0.776742122,0.558846541,-28.05249964,8,5,-37.5,0.887705282,0.558846541,-37.04593719,538,749.6665528,510,711.7697982
13255,GA,Spalding,45,53,17.77777778,0.713651358,0.829875519,16.28584601,40,36,-10,0.634356762,0.563689032,-11.14006107,538,749.6665528,510,711.7697982
13257,GA,Stephens,18,17,-5.555555556,0.713889109,0.656598818,-8.025096666,18,14,-22.22222222,0.713889109,0.540728438,-24.25596196,538,749.6665528,510,711.7697982
13259,GA,Stewart,1,2,100,0.217912399,0.33101622,51.90334326,4,2,-50,0.871649597,0.33101622,-62.02416418,538,749.6665528,510,711.7697982
13261,GA,Sumter,18,21,16.66666667,0.552825553,0.665525765,20.38621622,24,19,-20.83333333,0.737100737,0.602142359,-18.30935328,538,749.6665528,510,711.7697982
13263,GA,Talbot,0,1,0,0,0.153444837,0,0,1,,0,0.153444837,0,538,749.6665528,510,711.7697982
13265,GA,Taliaferro,0,1,0,0,0.595238095,0,1,1,0,0.541125541,0.595238095,10,538,749.6665528,510,711.7697982
13267,GA,Tattnall,10,5,-50,0.435236769,0.196974472,-54.74314529,7,6,-14.28571429,0.304665738,0.236369367,-22.41682049,538,749.6665528,510,711.7697982
13269,GA,Taylor,5,5,0,0.577700751,0.593824228,2.790973872,3,1,-66.66666667,0.346620451,0.118764846,-65.73634204,538,749.6665528,510,711.7697982
13271,GA,Telfair,10,6,-40,0.751992781,0.366994923,-51.19701511,6,6,0,0.451195669,0.366994923,-18.66169185,538,749.6665528,510,711.7697982
13273,GA,Terrell,5,5,0,0.487424449,0.552791598,13.41072416,2,4,100,0.19496978,0.442233278,126.8214483,538,749.6665528,510,711.7697982
13275,GA,Thomas,31,31,0,0.684311605,0.693140148,1.290135051,30,26,-13.33333333,0.662237037,0.58134335,-12.21521629,538,749.6665528,510,711.7697982
13277,GA,Tift,37,35,-5.405405405,0.877775669,0.852328073,-2.899100152,33,31,-6.060606061,0.782881002,0.754919151,-3.571660497,538,749.6665528,510,711.7697982
13279,GA,Toombs,28,27,-3.571428571,1.008391256,0.988467875,-1.975759002,21,17,-19.04761905,0.756293442,0.622368662,-17.70804459,538,749.6665528,510,711.7697982
13281,GA,Towns,8,7,-12.5,0.737395152,0.666984278,-9.548594569,21,13,-38.0952381,1.935662273,1.238685088,-36.00716895,538,749.6665528,510,711.7697982
13283,GA,Treutlen,2,1,-50,0.289645185,0.147732309,-48.9954203,1,2,100,0.144822592,0.295464618,104.0183188,538,749.6665528,510,711.7697982
13285,GA,Troup,48,47,-2.083333333,0.757121676,0.686452065,-9.333983272,51,45,-11.76470588,0.80444178,0.657241339,-18.29845802,538,749.6665528,510,711.7697982
13287,GA,Turner,4,8,100,0.426439232,0.951248514,123.0677765,6,4,-33.33333333,0.639658849,0.475624257,-25.64407451,538,749.6665528,510,711.7697982
13289,GA,Twiggs,2,1,-50,0.19573302,0.118385226,-39.51698828,3,1,-66.66666667,0.29359953,0.118385226,-59.67799219,538,749.6665528,510,711.7697982
13291,GA,Union,13,18,38.46153846,0.622188188,0.839121719,34.86622463,21,19,-9.523809524,1.005073227,0.885739593,-11.87312835,538,749.6665528,510,711.7697982
13293,GA,Upson,21,16,-23.80952381,0.762333466,0.600826136,-21.18591635,24,14,-41.66666667,0.871238247,0.525722869,-39.6579672,538,749.6665528,510,711.7697982
13295,GA,Walker,23,22,-4.347826087,0.356268782,0.323082797,-9.314872919,23,20,-13.04347826,0.356268782,0.293711634,-17.55897538,538,749.6665528,510,711.7697982
13297,GA,Walton,48,49,2.083333333,0.576638916,0.579367425,0.473174697,28,35,25,0.336372701,0.413833875,23.02837718,538,749.6665528,510,711.7697982
13299,GA,Ware,36,29,-19.44444444,1.001920347,0.809580972,-19.19707248,19,18,-5.263157895,0.528791294,0.502498534,-4.972237691,538,749.6665528,510,711.7697982
13301,GA,Warren,1,2,100,0.170502984,0.358551452,110.2904267,4,1,-75,0.682011935,0.179275726,-73.71369667,538,749.6665528,510,711.7697982
13303,GA,Washington,13,10,-23.07692308,0.6234115,0.478950141,-23.17271311,14,12,-14.28571429,0.67136623,0.57474017,-14.39245175,538,749.6665528,510,711.7697982
13305,GA,Wayne,25,20,-20,0.862187888,0.659957103,-23.45553539,19,18,-5.263157895,0.655262795,0.593961393,-9.355239278,538,749.6665528,510,711.7697982
13307,GA,Webster,0,0,0,0,0,0,1,0,-100,0.441306267,0,-100,538,749.6665528,510,711.7697982
13309,GA,Wheeler,1,1,0,0.147427392,0.126774848,-14.00862069,1,3,200,0.147427392,0.380324544,157.9741379,538,749.6665528,510,711.7697982
13311,GA,White,18,19,5.555555556,0.723676275,0.689505008,-4.721899647,31,29,-6.451612903,1.246331363,1.052402381,-15.55998577,538,749.6665528,510,711.7697982
13313,GA,Whitfield,81,84,3.703703704,0.873720431,0.812701361,-6.983820865,72,52,-27.77777778,0.776640383,0.503100843,-35.22087524,538,749.6665528,510,711.7697982
13315,GA,Wilcox,2,1,-50,0.230733733,0.1102779,-52.20555801,1,3,200,0.115366867,0.330833701,186.766652,538,749.6665528,510,711.7697982
13317,GA,Wilkes,6,4,-33.33333333,0.585880285,0.39698293,-32.24163028,5,7,40,0.488233571,0.694720127,42.29257642,538,749.6665528,510,711.7697982
13319,GA,Wilkinson,4,3,-25,0.398763832,0.313250496,-21.44460687,4,3,-25,0.398763832,0.313250496,-21.44460687,538,749.6665528,510,711.7697982
13321,GA,Worth,9,6,-33.33333333,0.422237861,0.275976266,-34.63962099,5,5,0,0.234576589,0.229980222,-1.959431489,538,749.6665528,510,711.7697982
