FIPS,State,County,GROC07,GROC12,PCH_GROC_07_12,GROCPTH07,GROCPTH12,PCH_GROCPTH_07_12,SUPERC07,SUPERC12,PCH_SUPERC_07_12,SUPERCPTH07,SUPERCPTH12,PCH_SUPERCPTH_07_12,CONVS07,CONVS12,PCH_CONVS_07_12,CONVSPTH07,CONVSPTH12,PCH_CONVSPTH_07_12,SPECS07,SPECS12,PCH_SPECS_07_12,SPECSPTH07,SPECSPTH12,PCH_SPECSPTH_07_12,SNAPS08,SNAPS12,PCH_SNAPS_08_12,SNAPSPTH08,SNAPSPTH12,PCH_SNAPSPTH_08_12,WICS08,WICS12,PCH_WICS_08_12,WICSPTH08,WICSPTH12,PCH_WICSPTH_08_12
13077,GA,Coweta,21,20,-4.761904762,0.17652399,0.152754546,-13.46527689,1,3,200,0.008405904,0.022913182,172.5843778,76,53,-30.26315789,0.638848727,0.404799548,-36.63608762,4,2,-50,0.033623617,0.015275455,-54.56927037,47.5,96.16666667,102.4561404,0.384877163,0.734494777,90.83875243,14,18,28.57143,0.1134375,0.1374791,21.19371
13079,GA,Crawford,2,2,0,0.159489633,0.158730159,-0.476190476,0,0,0,0,0,0,4,7,75,0.318979266,0.555555556,74.16666667,0,0,0,0,0,0,5,10.08333333,101.6666667,0.398311161,0.80026455,100.914418,1,1,0,0.0796622,0.0793651,-0.3730143
13081,GA,Crisp,7,14,100,0.315613869,0.593069559,87.90985343,1,1,0,0.045087696,0.042362111,-6.045073286,21,24,14.28571429,0.946841607,1.016690672,7.377059101,2,0,-100,0.090175391,0,-100,32.16666667,38.16666667,18.65284974,1.446798303,1.616820582,11.75162282,7,7,0,0.3148473,0.2965348,-5.816316
13083,GA,Dade,5,5,0,0.308737265,0.303214069,-1.788963008,0,0,0,0,0,0,16,18,12.5,0.987959247,1.091570649,10.48741662,0,0,0,0,0,0,12.75,25.75,101.9607843,0.790354575,1.561552456,97.57618997,4,4,0,0.2479544,0.2425713,-2.171012
13085,GA,Dawson,3,2,-33.33333333,0.13887603,0.089198109,-35.77141498,0,1,0,0,0.044599055,0,22,14,-36.36363636,1.01842422,0.624386763,-38.69089612,1,0,-100,0.04629201,0,-100,11.08333333,24.25,118.7969925,0.501417541,1.081527072,115.6939043,4,4,0,0.1809627,0.1783962,-1.418257
13087,GA,Decatur,9,5,-44.44444444,0.315313737,0.181758697,-42.35623897,1,1,0,0.03503486,0.036351739,3.758769857,19,31,63.15789474,0.665662334,1.126903922,69.2906245,3,2,-33.33333333,0.105104579,0.072703479,-30.82748676,37.41666667,41.5,10.91314031,1.301268229,1.508597186,15.93283785,6,6,0,0.2086666,0.2181104,4.525786
13089,GA,DeKalb,128,134,4.6875,0.174447288,0.189509383,8.634180952,3,11,266.6666667,0.004088608,0.01555674,280.4898676,580,316,-45.51724138,0.790464275,0.446902724,-43.46326105,43,44,2.325581395,0.058603386,0.062226962,6.183218869,332.5833333,580.3333333,74.49260837,0.449178356,0.820735909,82.71938051,111,106,-4.504505,0.1499137,0.1499104,-0.0021967
13091,GA,Dodge,10,7,-30,0.505765729,0.328191664,-35.10994421,0,1,0,0,0.046884523,0,15,18,20,0.758648594,0.843921422,11.24009564,1,1,0,0.050576573,0.046884523,-7.299920296,19.08333333,24.83333333,30.13100437,0.965560278,1.164298998,20.58273573,8,5,-37.5,0.4047764,0.2344226,-42.0859
13093,GA,Dooly,1,0,-100,0.08668516,0,-100,0,0,0,0,0,0,6,15,150,0.520110957,1.047632351,101.42478,0,1,0,0,0.069842157,,14.41666667,18.16666667,26.01156069,1.251772742,1.268799181,1.360186095,4,3,-25,0.3473127,0.2095265,-39.67209
13095,GA,Dougherty,22,21,-4.545454545,0.230847525,0.222219871,-3.737382288,2,3,50,0.020986139,0.031745696,51.26982783,78,82,5.128205128,0.818459408,0.867715686,6.018169934,6,9,50,0.062958416,0.095237087,51.26982783,97.83333333,128,30.83475298,1.026345789,1.354483021,31.97141114,23,21,-8.695652,0.2412874,0.2222199,-7.902424
