,FIPS,State,County,LACCESS_POP10,PCT_LACCESS_POP10,LACCESS_LOWI10,PCT_LACCESS_LOWI10,LACCESS_CHILD10,PCT_LACCESS_CHILD10,LACCESS_SENIORS10,PCT_LACCESS_SENIORS10,LACCESS_HHNV10,PCT_LACCESS_HHNV10
142,13289,GA,Twiggs,0.000350531,0.011675966,0.001149005,0.017916021,0.000296069,0.011042229,0.000837199,0.015951058,0.025057867,0.443139068
143,13291,GA,Union,2.64E-05,0.000372229,4.37E-05,0.00028783,1.18E-05,0.000186053,6.75E-05,0.000543488,0.031632074,0.189284852
144,13293,GA,Upson,0.017717232,0.196108036,0.035952308,0.186285703,0.016387731,0.203102777,0.033707725,0.213414352,0.061155695,0.323036039
145,13295,GA,Walker,0.062777835,0.274418298,0.116373674,0.23813033,0.055513907,0.271710261,0.109822838,0.274595907,0.089859009,0.16591363
146,13297,GA,Walton,0.055602132,0.199494364,0.09339332,0.156858565,0.057882384,0.232532206,0.06127415,0.125750914,0.074575471,0.111218562
147,13299,GA,Ware,0.048916878,0.404879598,0.082960396,0.321433561,0.037934056,0.351555551,0.090077306,0.426458938,0.041429843,0.153030473
148,13301,GA,Warren,0.000310748,0.016008802,0.000741311,0.01787741,0.000207074,0.011944655,0.000641683,0.018908903,0.018039627,0.538820189
149,13303,GA,Washington,0.020254343,0.287320112,0.053862972,0.357677329,0.012583687,0.199872606,0.030521121,0.247652667,0.039229625,0.30173418
150,13305,GA,Wayne,0.030597014,0.305523288,0.061799687,0.288871556,0.029304614,0.327641403,0.045225914,0.258313608,0.044740843,0.232666753
151,13307,GA,Webster,0.000201181,0.021602376,0.000528356,0.026557945,0.000208942,0.02512101,0.000183666,0.011280721,0.006364694,0.527842354
152,13309,GA,Wheeler,4.31E-05,0.001746464,6.24E-05,0.001183639,3.72E-05,0.001688551,0.00017572,0.004070705,0.004940635,0.208235356
153,13311,GA,White,0,0,0,0,0,0,0,0,0.037782177,0.190099872
154,13313,GA,Whitfield,0.099531355,0.291564148,0.203684397,0.279309176,0.111721151,0.366443582,0.103939317,0.174160127,0.073189537,0.082669175
155,13315,GA,Wilcox,0.000246847,0.00801619,0.000543962,0.008269188,0.000228108,0.008294268,0.000475311,0.008829045,0.025226851,0.574242968
156,13317,GA,Wilkes,0.011646691,0.330446302,0.028533916,0.378977113,0.00920633,0.292470734,0.024675701,0.400463121,0.045846061,0.670693406
157,13319,GA,Wilkinson,0.007261165,0.228207274,0.01637616,0.240928672,0.005184886,0.182456727,0.015346457,0.275883648,0.022537171,0.396401871
158,13321,GA,Worth,0.008806174,0.122085852,0.022338192,0.144970403,0.008368251,0.129900342,0.013891934,0.110162931,0.030521891,0.20755022
