,FIPS,State,County,FFR07,FFR12,PCH_FFR_07_12,FFRPTH07,FFRPTH12,PCH_FFRPTH_07_12,FSR07,FSR12,PCH_FSR_07_12,FSRPTH07,FSRPTH12,PCH_FSRPTH_07_12
106,13217,GA,Newton,0.049689441,0.051162791,0.286458333,0.444307962,0.478972815,0.284048362,0.029038113,0.029712163,0.333333333,0.334242054,0.315255406,-5.680508349
107,13219,GA,Oconee,0.031055901,0.026046512,0.233333333,0.843705372,0.736222101,0.229923603,0.016333938,0.014856082,0.296296296,0.571229095,0.475921354,-16.68467897
108,13221,GA,Oglethorpe,0.004140787,0.002790698,0.1875,0.253889128,0.18141321,0.188273989,0,0,0.333333333,0,0,0
109,13223,GA,Paulding,0.053830228,0.053953488,0.278846154,0.360291784,0.354074819,0.25894421,0.049909256,0.051067781,0.333333333,0.43001337,0.379834254,-11.6691989
110,13225,GA,Peach,0.01552795,0.015813953,0.283333333,0.507676444,0.544038221,0.282363085,0.016333938,0.012070566,0.240740741,0.687442713,0.470639345,-31.53766322
111,13227,GA,Pickens,0.013457557,0.013953488,0.288461538,0.378892324,0.453037157,0.31505294,0.02722323,0.023212628,0.277777778,0.986647372,0.854175208,-13.42649538
112,13229,GA,Pierce,0.00931677,0.011162791,0.333333333,0.446798499,0.562916218,0.331969035,0.006352087,0.004642526,0.238095238,0.392134894,0.265336447,-32.33541559
113,13231,GA,Pike,0.005175983,0.00372093,0.2,0.257721166,0.198532532,0.202977134,0.006352087,0.00371402,0.19047619,0.407142442,0.224592925,-44.83676907
114,13233,GA,Polk,0.032091097,0.026046512,0.225806452,0.662827225,0.600928689,0.238884581,0.021778584,0.023212628,0.347222222,0.579052766,0.606972905,4.821691593
115,13235,GA,Pulaski,0.005175983,0.008372093,0.45,0.452004489,0.678813559,0.395706588,0.007259528,0.002785515,0.125,0.816076711,0.255972696,-68.63374573
116,13237,GA,Putnam,0.016563147,0.005581395,0.09375,0.699723648,0.250202689,0.094217362,0.015426497,0.010213556,0.215686275,0.838926174,0.518916879,-38.14510803
117,13239,GA,Quitman,0.001035197,0,0,0.334541336,0,0,0.001814882,0,0,0.755001888,0,-100
118,13241,GA,Rabun,0.017598344,0.013023256,0.205882353,0.909526684,0.759374451,0.219991578,0.024500907,0.030640669,0.407407407,1.630041053,2.024912561,24.22463575
119,13243,GA,Randolph,0.00621118,0.002790698,0.125,0.729983525,0.361935076,0.130642095,0.003629764,0.005571031,0.5,0.549148819,0.818889041,49.11969428
120,13245,GA,Richmond,0.164596273,0.143255814,0.242138365,0.714090674,0.671962069,0.247945892,0.119782214,0.123491179,0.335858586,0.668957339,0.656508068,-1.860996196
121,13247,GA,Rockdale,0.067287785,0.060465116,0.25,0.703891978,0.669515225,0.250622444,0.083484574,0.068709378,0.268115942,1.124213356,0.862269867,-23.30015807
122,13249,GA,Schley,0.004140787,0.002790698,0.1875,0.859345455,0.531442546,0.162949884,0.001814882,0,0,0.484848485,0,-100
123,13251,GA,Screven,0.007246377,0.005581395,0.214285714,0.412268226,0.373454205,0.238683835,0.008166969,0.008356546,0.333333333,0.598125872,0.633713561,5.949866216
124,13253,GA,Seminole,0.007246377,0.004651163,0.178571429,0.688348868,0.494001398,0.189097199,0.007259528,0.004642526,0.208333333,0.887705282,0.558846541,-37.04593719
125,13255,GA,Spalding,0.046583851,0.049302326,0.294444444,0.632437833,0.733581827,0.305630183,0.036297641,0.033426184,0.3,0.634356762,0.563689032,-11.14006107
126,13257,GA,Stephens,0.01863354,0.015813953,0.236111111,0.632648528,0.580411097,0.241734549,0.016333938,0.012999071,0.259259259,0.713889109,0.540728438,-24.25596196
127,13259,GA,Stewart,0.001035197,0.001860465,0.5,0.193113968,0.292607117,0.399242455,0.003629764,0.00185701,0.166666667,0.871649597,0.33101622,-62.02416418
128,13261,GA,Sumter,0.01863354,0.019534884,0.291666667,0.489914005,0.588302216,0.316407049,0.021778584,0.017641597,0.263888889,0.737100737,0.602142359,-18.30935328
129,13263,GA,Talbot,0,0.000930233,0.25,0,0.135640034,0.262826641,0,0.000928505,,0,0.153444837,0
130,13265,GA,Taliaferro,0,0.000930233,0.25,0,0.526170298,0.262826641,0.000907441,0.000928505,0.333333333,0.541125541,0.595238095,10
131,13267,GA,Tattnall,0.010351967,0.004651163,0.125,0.385706825,0.174118756,0.118947071,0.006352087,0.005571031,0.285714286,0.304665738,0.236369367,-22.41682049
132,13269,GA,Taylor,0.005175983,0.004651163,0.25,0.511958405,0.524920488,0.270162064,0.002722323,0.000928505,0.111111111,0.346620451,0.118764846,-65.73634204
133,13271,GA,Telfair,0.010351967,0.005581395,0.15,0.666416002,0.324411071,0.128267246,0.005444646,0.005571031,0.333333333,0.451195669,0.366994923,-18.66169185
134,13273,GA,Terrell,0.005175983,0.004651163,0.25,0.431955547,0.488649034,0.298073597,0.001814882,0.00371402,0.666666667,0.19496978,0.442233278,126.8214483
135,13275,GA,Thomas,0.032091097,0.028837209,0.25,0.606436944,0.612712394,0.26621746,0.02722323,0.024141133,0.288888889,0.662237037,0.58134335,-12.21521629
136,13277,GA,Tift,0.038302277,0.03255814,0.236486486,0.777884798,0.753429124,0.255207034,0.029945554,0.028783658,0.313131313,0.782881002,0.754919151,-3.571660497
137,13279,GA,Toombs,0.028985507,0.025116279,0.241071429,0.893636331,0.873772094,0.25763382,0.019056261,0.015784587,0.26984127,0.756293442,0.622368662,-17.70804459
138,13281,GA,Towns,0.008281573,0.006511628,0.21875,0.653479584,0.589591492,0.237730391,0.019056261,0.012070566,0.206349206,1.935662273,1.238685088,-36.00716895
139,13283,GA,Treutlen,0.002070393,0.000930233,0.125,0.256683563,0.130590353,0.134053624,0.000907441,0.00185701,0.666666667,0.144822592,0.295464618,104.0183188
140,13285,GA,Troup,0.049689441,0.04372093,0.244791667,0.670961229,0.606800356,0.238294446,0.046279492,0.04178273,0.294117647,0.80444178,0.657241339,-18.29845802
141,13287,GA,Turner,0.004140787,0.00744186,0.5,0.377910447,0.84087144,0.586281545,0.005444646,0.00371402,0.222222222,0.639658849,0.475624257,-25.64407451
142,13289,GA,Twiggs,0.002070393,0.000930233,0.125,0.173458602,0.104648527,0.158965468,0.002722323,0.000928505,0.111111111,0.29359953,0.118385226,-59.67799219
143,13291,GA,Union,0.013457557,0.016744186,0.346153846,0.551383172,0.741755154,0.354464368,0.019056261,0.017641597,0.301587302,1.005073227,0.885739593,-11.87312835
144,13293,GA,Upson,0.02173913,0.014883721,0.19047619,0.675579917,0.531109937,0.207144409,0.021778584,0.012999071,0.194444444,0.871238247,0.525722869,-39.6579672
145,13295,GA,Walker,0.023809524,0.020465116,0.239130435,0.315725395,0.28559424,0.238344674,0.020871143,0.018570102,0.289855072,0.356268782,0.293711634,-17.55897538
146,13297,GA,Walton,0.049689441,0.045581395,0.255208333,0.511017407,0.512141164,0.26407027,0.025408348,0.032497679,0.416666667,0.336372701,0.413833875,23.02837718
147,13299,GA,Ware,0.037267081,0.026976744,0.201388889,0.887901811,0.715642136,0.21237162,0.017241379,0.016713092,0.315789474,0.528791294,0.502498534,-4.972237691
148,13301,GA,Warren,0.001035197,0.001860465,0.5,0.151099744,0.316947329,0.552699265,0.003629764,0.000928505,0.083333333,0.682011935,0.179275726,-73.71369667
149,13303,GA,Washington,0.013457557,0.009302326,0.192307692,0.552467271,0.423375689,0.201922578,0.012704174,0.011142061,0.285714286,0.67136623,0.57474017,-14.39245175
150,13305,GA,Wayne,0.025879917,0.018604651,0.2,0.764070906,0.583379707,0.201179245,0.017241379,0.016713092,0.315789474,0.655262795,0.593961393,-9.355239278
151,13307,GA,Webster,0,0,0.25,0,0,0.262826641,0.000907441,0,0,0.441306267,0,-100
152,13309,GA,Wheeler,0.001035197,0.000930233,0.25,0.130650155,0.112064668,0.226008254,0.000907441,0.002785515,1,0.147427392,0.380324544,157.9741379
153,13311,GA,White,0.01863354,0.017674419,0.263888889,0.641321915,0.609499054,0.250416231,0.028130672,0.026926648,0.311827957,1.246331363,1.052402381,-15.55998577
154,13313,GA,Whitfield,0.083850932,0.078139535,0.259259259,0.774291046,0.718400454,0.244471299,0.065335753,0.048282266,0.240740741,0.776640383,0.503100843,-35.22087524
155,13315,GA,Wilcox,0.002070393,0.000930233,0.125,0.204476234,0.097481925,0.125616527,0.000907441,0.002785515,1,0.115366867,0.330833701,186.766652
156,13317,GA,Wilkes,0.00621118,0.00372093,0.166666667,0.519207108,0.350919453,0.178087047,0.004537205,0.006499536,0.466666667,0.488233571,0.694720127,42.29257642
157,13319,GA,Wilkinson,0.004140787,0.002790698,0.1875,0.353384508,0.27690282,0.206464501,0.003629764,0.002785515,0.25,0.398763832,0.313250496,-21.44460687
158,13321,GA,Worth,0.00931677,0.005581395,0.166666667,0.374187192,0.243953664,0.171784489,0.004537205,0.004642526,0.333333333,0.234576589,0.229980222,-1.959431489
